ID	orig_x	orig_y	orig_z	Annotation	label_conf	world_x	world_y	world_z
DH0558_MMIR_SEA	20.442	27.6854	-22.3139	SA112		17.2999387	-4.510498193	-9.395345274
DH0560_MMIR_SEA	-42.5745	-6.22514	-12.8974	SA114		29.67032723	-18.76034559	-21.80129961
DH0561_MMIR_SEA	-34.4482	-8.0701	-11.021	SA115		30.2394227	-16.74336449	-20.14287802
DH0562_MMIR_SEA	-33.3377	-5.73418	-11.5589	SA116		29.48788029	-16.61345019	-19.8242708
DH0563_MMIR_SEA	-32.3893	-4.89082	-13.2793	SA117		28.9803809	-16.20456857	-19.97487335
DH0564_MMIR_SEA	-29.1428	-6.67687	-10.941	SA118		29.72799865	-15.52259846	-19.05005973
DH0565_MMIR_SEA	-26.3098	-5.35724	-11.0844	SA119		29.26906804	-14.90177853	-18.44828482
DH0572_NSEQ	-24.3077	-6.90326	-10.054	SA120		29.79291343	-14.37705147	-18.02335925
DH0567_MMIR_SEA	-24.6819	-9.68037	-9.97021	SA121		30.58088188	-14.20653205	-18.36891724
DH0574_NSEQ	-25.1667	-12.8502	-8.40665	SA122		31.69516116	-14.23875682	-18.42625589
DH0570_MMIR_SEA	-21.7711	-13.029	-8.52829	SA124		31.63798616	-13.3247689	-17.88343462
DH0571_MMIR_SEA	-22.399	-9.48714	-10.6973	SA125		30.36218698	-13.53041619	-18.12268295
DH0572_MMIR_SEA	-23.346	-7.47826	-10.2459	SA126		29.89846669	-14.04270108	-17.96354638
DH0573_MMIR_SEA	-24.065	-5.5882	-11.3585	SA127		29.23421807	-14.25824052	-18.14742288
DH0574_MMIR_SEA	-20.852	-4.45048	-10.8506	SA128		28.91019547	-13.61484555	-17.34517119
DH0575_MMIR_SEA	-20.9594	-6.17366	-10.3509	SA129		29.46093903	-13.54139588	-17.43200037
DH0576_MMIR_SEA	-20.5504	-8.2064	-10.546	SA130		29.98256696	-13.202894	-17.62673362
DH0577_MMIR_SEA	-19.1513	-13.5874	-6.65975	SA131		31.9950932	-12.86062323	-17.04603821
DH0578_MMIR_SEA	-16.8626	-14.9821	-5.82858	SA132		32.44074492	-12.24821407	-16.6019896
DH0579_MMIR_SEA	-16.6766	-12.2595	-6.55488	SA133		31.57934065	-12.36917167	-16.44701288
DH0580_MMIR_SEA	-17.8035	-10.7894	-8.12403	SA134		30.97523403	-12.58206369	-16.85524052
DH0581_MMIR_SEA	-17.3345	-7.45573	-10.0571	SA135		29.76246554	-12.51706219	-16.87031684
DH0582_MMIR_SEA	-17.504	-3.53713	-11.799	SA136		28.43284545	-12.70369355	-16.88806039
DH0583_MMIR_SEA	-11.5435	-0.63577	-12.8951	SA137		27.31734971	-11.29539348	-15.7963008
DH0584_MMIR_SEA	-13.9015	-3.81676	-9.86157	SA138		28.69737144	-12.02332007	-15.83321987
DH0585_MMIR_SEA	-13.6759	-6.47482	-9.28129	SA139		29.50898341	-11.78129398	-15.94412012
DH0586_MMIR_SEA	-13.9186	-9.36912	-7.37854	SA140		30.59023572	-11.82758219	-15.84932869
DH0587_MMIR_SEA	-13.8198	-11.5105	-6.10116	SA141		31.36397842	-11.77099115	-15.76158794
DH0594_NSEQ	-12.9009	-14.2079	-5.74616	SA142		32.13556215	-11.3131259	-15.80936311
DH0595_NSEQ	-7.45854	-4.86256	-9.12339	SA143		28.92461608	-10.35789049	-14.65049648
DH0590_MMIR_SEA	-7.89468	-1.97491	-10.3004	SA144		27.9684446	-10.5913287	-14.69252348
DH0591_MMIR_SEA	-4.3428	-2.40981	-10.1756	SA145		28.01364324	-9.646724151	-14.09191792
DH0592_MMIR_SEA	-4.31348	-3.91127	-8.64371	SA146		28.64969088	-9.709239281	-13.88689749
DH0593_MMIR_SEA	1.06041	-5.92056	-6.85933	SA147		29.32272625	-8.374481848	-12.74698942
DH0594_MMIR_SEA	1.05584	-3.21904	-7.96293	SA148		28.41727745	-8.488144798	-12.716677
DH0595_MMIR_KAL	3.53117	-5.03987	-7.25485	SA149		28.957694	-7.766807812	-12.31532952
DH0596_MMIR_KAL	31.64331466	15.69799163	-17.14446992	K1		24.27205649	-18.43469901	-18.61218462
DH0597_MMIR_KAL	25.73802059	15.56953531	-16.87653394	K2		23.92171524	-16.4317333	-17.71361758
DH0598_MMIR_KAL	23.51970419	17.34307451	-15.70068343	K3		24.43563176	-15.76727125	-16.91983973
DH0599_MMIR_KAL	18.14821734	16.01243033	-15.3904138	K4		23.66408364	-13.99781622	-16.13481381
DH0600_MMIR_KAL	15.90640896	17.72168799	-14.8160593	K5		24.17045223	-13.24217769	-15.54944769
DH0601_MMIR_KAL	13.66007672	15.76870906	-13.12187488	K6		23.28344506	-12.77358834	-14.74207966
DH0602_MMIR_KAL	6.792894283	-4.022335175	-9.771654048	K7		15.49052328	-11.5714108	-13.53942001
DH0603_MMIR_KAL	4.926175183	-4.772929845	-7.638784446	K8		15.05639848	-11.25392996	-12.57711496
DH0604_MMIR_KAL	0.203697288	-4.403770617	-11.09697082	K9		15.05842462	-9.114524885	-13.1112466
DH0605_MMIR_KAL	-12.10475572	12.9030739	-10.80888974	K10		20.86521184	-4.278589065	-10.52991952
DH0606_MMIR_KAL	-19.04184596	7.540293993	-7.959021102	K11		18.4436087	-2.469934369	-8.832637
DH0607_MMIR_KAL	-18.68737814	9.237154097	-9.721544361	K12		19.14300324	-2.282587581	-9.415442025
DH0614_NSEQ	-21.21970062	9.282852845	-8.578316062	K13		19.0002823	-1.565959556	-8.668708071
DH0609_MMIR_KAL	-20.84505906	12.73111445	-10.99937733	K14		20.37051373	-1.23012868	-9.402834265
DH0610_MMIR_KAL	-9.638565613	24.53410571	-10.32181703	K15		25.29520597	-4.789768163	-10.16886425
DH0611_MMIR_KAL	-13.90650682	24.73532354	-8.884109282	K16		25.11504098	-3.508201169	-9.074357124
DH0618_NSEQ	-27.58466107	4.866072776	-12.3928069	K17		17.152653	1.023322007	-9.31924168
DH0619_NSEQ	-28.1804349	6.22708919	-11.58043535	K18		17.60489697	1.162692906	-8.893371963
DH0614_MMIR_KAL	-29.04987323	9.129147741	-11.66313487	K19		18.64204155	1.578425634	-8.670120447
DH0615_MMIR_KAL	-30.16552133	4.738945891	-10.62741953	K20		16.92519481	1.662390595	-8.357852146
DH0616_MMIR_KAL	-33.07144952	4.282934931	-8.743815221	K21		16.5558833	2.38563611	-7.32578855
DH0617_MMIR_KAL	-30.67800585	10.2131907	-12.78808618	K22		18.99623136	2.340370751	-8.787241871
