targetid,ordernumber,organism,species,sample_id,sample_id_old,site,annotation,orig_x,orig_y,orig_z,world_x,world_y,world_z,agisoft_x,agisoft_y,agisoft_z,clone_lineage,clade,shape_id,lat,lon
2795541,DMadr22-6918,Madracis,-,DH0320_MMIR_SNA,mmir_sna_320,Snake Bay,SB144,-15.3533,-7.69424,-11.5974,-28.93029261,12.315428,-10.7422018,-58.83886674,-214.5302351,32.44586871,80,Major,52_sna,12.138986,-68.997639
2795633,DMadr22-6918,Madracis,-,DH0325_MMIR_SNA,mmir_sna_330,Snake Bay,SB149,-17.7394,-1.00315,-12.9744,-30.71090134,11.57768674,-10.4477436,-61.73528761,-215.6990226,33.3312482,85,Major,53_sna,12.138986,-68.997639
2796111,DMadr22-6918,Madracis,-,DH0325_MMIR_SNA,mmir_sna_330,Snake Bay,,,,,,,,,,,85,Major,53_sna,12.138986,-68.997639
2795634,DMadr22-6918,Madracis,-,DH0326_MMIR_SNA,mmir_sna_332,Snake Bay,SB150,-18.0354,1.34711,-12.9639,-31.33180761,11.51386279,-10.31428135,-62.73762873,-215.7823891,33.67453996,85,Major,53_sna,12.138986,-68.997639
2796112,DMadr22-6918,Madracis,-,DH0326_MMIR_SNA,mmir_sna_332,Snake Bay,,,,,,,,,,,85,Major,53_sna,12.138986,-68.997639
2795635,DMadr22-6918,Madracis,-,DH0327_MMIR_SNA,mmir_sna_334,Snake Bay,SB151,-23.2824,0.161888,-14.8895,-30.96998626,10.04804882,-10.01341885,-62.09573103,-218.2018272,34.22671259,86,Major,53_sna,12.138986,-68.997639
2796113,DMadr22-6918,Madracis,-,DH0327_MMIR_SNA,mmir_sna_334,Snake Bay,,,,,,,,,,,86,Major,53_sna,12.138986,-68.997639
2795724,DMadr22-6918,Madracis,-,DH0329_MMIR_SNA,mmir_sna_338,Snake Bay,SB153,-22.8306,-11.0178,-12.1194,-27.90892031,10.55634986,-9.8799579,-57.00215253,-217.4033931,33.82549975,80,Major,52_sna,12.138986,-68.997639
2795725,DMadr22-6918,Madracis,-,DH0330_MMIR_SNA,mmir_sna_340,Snake Bay,SB154,-33.1839,-6.22936,-17.7688,-29.15485648,7.392212418,-9.432497204,-59.00781063,-222.6044397,35.06703785,87,Major,48_sna,12.138986,-68.997639
2795726,DMadr22-6918,Madracis,-,DH0331_MMIR_SNA,mmir_sna_342,Snake Bay,SB155,-32.5701,-2.54164,-19.1512,-30.19462642,7.326201888,-9.693218664,-60.77786199,-222.7161121,34.83848581,87,Major,49_sna,12.138986,-68.997639
2795728,DMadr22-6918,Madracis,-,DH0333_MMIR_SNA,mmir_sna_346,Snake Bay,SB157,-36.7325,-5.57248,-19.2866,-29.30610998,6.369499708,-9.222665309,-59.22775136,-224.2848839,35.52849957,87,Major,48_sna,12.138986,-68.997639
2795729,DMadr22-6918,Madracis,-,DH0334_MMIR_SNA,mmir_sna_348,Snake Bay,SB158,-39.2539,-6.48512,-19.9433,-29.03227249,5.704916026,-9.03109947,-58.74463924,-225.3793451,35.84921389,0,Major,47_sna,12.138986,-68.997639
