NR INDV clone_lineage LOC Depth CLADE
97 DH0097_MMIR_KAL_SHA 24 KAL reef_flat Major
98 DH0098_MMIR_KAL_SHA 24 KAL reef_flat Major
99 DH0099_MMIR_KAL_SHA 27 KAL reef_flat Major
100 DH0100_MMIR_KAL_SHA 28 KAL reef_flat Major
101 DH0101_MMIR_KAL_SHA 28 KAL reef_flat Major
102 DH0102_MMIR_KAL_SHA 0 KAL reef_flat Minor
103 DH0103_MMIR_KAL_SHA 27 KAL reef_flat Major
104 DH0104_MMIR_KAL_SHA 29 KAL reef_flat Major
105 DH0105_MMIR_KAL_SHA 0 KAL reef_flat Major
106 DH0106_MMIR_KAL_SHA 29 KAL reef_flat Major
107 DH0107_MMIR_KAL_SHA 29 KAL reef_flat Major
108 DH0108_MMIR_KAL_SHA 0 KAL reef_flat Major
109 DH0109_MMIR_KAL_SHA 0 KAL reef_flat Major
110 DH0110_MMIR_KAL_SHA 33 KAL reef_flat Major
111 DH0111_MMIR_KAL_SHA 34 KAL reef_flat Major
112 DH0112_MMIR_KAL_SHA 35 KAL reef_flat Major
113 DH0113_MMIR_KAL_SHA 36 KAL reef_flat Major
114 DH0114_MMIR_KAL_SHA 36 KAL reef_flat Major
115 DH0115_MMIR_KAL_SHA 37 KAL reef_flat Major
116 DH0116_MMIR_KAL_SHA 34 KAL reef_flat Major
117 DH0117_MMIR_KAL_SHA 37 KAL reef_flat Major
118 DH0118_MMIR_KAL_SHA 37 KAL reef_flat Major
119 DH0119_MMIR_KAL_SHA 37 KAL reef_flat Major
120 DH0120_MMIR_KAL_SHA 37 KAL reef_flat Major
121 DH0121_MMIR_KAL_SHA 0 KAL reef_flat Major
122 DH0122_MMIR_KAL_SHA 34 KAL reef_flat Major
123 DH0123_MMIR_KAL_SHA 34 KAL reef_flat Major
124 DH0124_MMIR_KAL_SHA 34 KAL reef_flat Major
125 DH0125_MMIR_KAL_SHA 34 KAL reef_flat Major
126 DH0126_MMIR_KAL_SHA 0 KAL reef_flat Major
127 DH0127_MMIR_KAL_SHA 34 KAL reef_flat Major
128 DH0128_MMIR_KAL_SHA 35 KAL reef_flat Major
129 DH0129_MMIR_KAL_SHA 40 KAL reef_flat Major
130 DH0130_MMIR_KAL_SHA 40 KAL reef_flat Major
131 DH0131_MMIR_KAL_SHA 0 KAL reef_flat Major
132 DH0132_MMIR_KAL_SHA 0 KAL reef_flat Major
133 DH0133_MMIR_KAL_SHA 0 KAL reef_flat Major
134 DH0134_MMIR_KAL_SHA 37 KAL reef_flat Major
135 DH0135_MMIR_KAL_SHA 0 KAL reef_flat Major
136 DH0136_MMIR_KAL_SHA 45 KAL reef_flat Major
137 DH0137_MMIR_KAL_SHA 45 KAL reef_flat Major
138 DH0138_MMIR_KAL_SHA 34 KAL reef_flat Major
139 DH0139_MMIR_KAL_SHA 0 KAL reef_flat Major
140 DH0140_MMIR_KAL_SHA 47 KAL reef_flat Major
141 DH0141_MMIR_KAL_SHA 0 KAL reef_flat Major
142 DH0142_MMIR_KAL_SHA 49 KAL reef_flat Major
143 DH0143_MMIR_KAL_SHA 49 KAL reef_flat Major
144 DH0144_MMIR_KAL_SHA 0 KAL reef_flat Major
145 DH0145_MMIR_KAL_SHA 49 KAL reef_flat Major
146 DH0146_MMIR_KAL_SHA 49 KAL reef_flat Major
147 DH0147_MMIR_KAL_SHA 34 KAL reef_flat Major
148 DH0148_MMIR_KAL_SHA 34 KAL reef_flat Major
149 DH0149_MMIR_KAL_SHA 34 KAL reef_flat Major
150 DH0150_MMIR_KAL_SHA 0 KAL reef_flat Major
151 DH0151_MMIR_KAL_SHA 52 KAL reef_flat Major
152 DH0152_MMIR_KAL_SHA 0 KAL reef_flat Major
153 DH0153_MMIR_KAL_SHA 49 KAL reef_flat Major
154 DH0154_MMIR_KAL_SHA 49 KAL reef_flat Major
155 DH0155_MMIR_KAL_SHA 49 KAL reef_flat Major
156 DH0156_MMIR_KAL_SHA 52 KAL reef_flat Major
157 DH0157_MMIR_KAL_SHA 54 KAL reef_flat Major
158 DH0158_MMIR_KAL_SHA 54 KAL reef_flat Major
159 DH0159_MMIR_KAL_SHA 34 KAL reef_flat Major
160 DH0160_MMIR_KAL_SHA 0 KAL reef_flat Major
161 DH0161_MMIR_KAL_SHA 49 KAL reef_flat Major
162 DH0162_MMIR_KAL_SHA 47 KAL reef_flat Major
