NR INDV clone_lineage LOC Depth CLADE
451 DH0496_MMIR_SEA 118 SEA reef_slope Major
452 DH0497_MMIR_SEA 118 SEA reef_slope Major
453 DH0498_MMIR_SEA 118 SEA reef_slope Major
454 DH0499_MMIR_SEA 118 SEA reef_slope Major
455 DH0500_MMIR_SEA 111 SEA reef_slope Major
456 DH0501_MMIR_SEA 0 SEA reef_slope Minor
457 DH0503_MMIR_SEA 0 SEA reef_slope Major
458 DH0504_MMIR_SEA 111 SEA reef_slope Major
459 DH0506_MMIR_SEA 118 SEA reef_slope Major
460 DH0508_MMIR_SEA 118 SEA reef_slope Major
461 DH0509_MMIR_SEA 118 SEA reef_slope Major
462 DH0510_MMIR_SEA 118 SEA reef_slope Major
463 DH0511_MMIR_SEA 0 SEA reef_slope Major
464 DH0512_MMIR_SEA 119 SEA reef_slope Major
465 DH0513_MMIR_SEA 122 SEA reef_slope Major
466 DH0514_MMIR_SEA 122 SEA reef_slope Major
467 DH0515_MMIR_SEA 198 SEA reef_slope Minor
468 DH0516_MMIR_SEA 198 SEA reef_slope Minor
469 DH0517_MMIR_SEA 198 SEA reef_slope Minor
470 DH0520_MMIR_SEA 123 SEA reef_slope Major
471 DH0521_MMIR_SEA 123 SEA reef_slope Major
472 DH0522_MMIR_SEA 123 SEA reef_slope Major
473 DH0524_MMIR_SEA 119 SEA reef_slope Major
474 DH0525_MMIR_SEA 198 SEA reef_slope Minor
475 DH0526_MMIR_SEA 198 SEA reef_slope Minor
476 DH0527_MMIR_SEA 0 SEA reef_slope Major
477 DH0528_MMIR_SEA 196 SEA reef_slope Minor
478 DH0529_MMIR_SEA 196 SEA reef_slope Minor
479 DH0530_MMIR_SEA 196 SEA reef_slope Minor
480 DH0531_MMIR_SEA 196 SEA reef_slope Minor
481 DH0534_MMIR_SEA 118 SEA reef_slope Major
482 DH0535_MMIR_SEA 0 SEA reef_slope Major
483 DH0536_MMIR_SEA 86 SEA reef_slope Major
484 DH0537_MMIR_SEA 126 SEA reef_slope Major
485 DH0538_MMIR_SEA 126 SEA reef_slope Major
486 DH0539_MMIR_SEA 86 SEA reef_slope Major
487 DH0540_MMIR_SEA 127 SEA reef_slope Major
488 DH0541_MMIR_SEA 128 SEA reef_slope Major
489 DH0542_MMIR_SEA 127 SEA reef_slope Major
490 DH0543_MMIR_SEA 0 SEA reef_slope Minor
491 DH0544_MMIR_SEA 126 SEA reef_slope Major
492 DH0545_MMIR_SEA 126 SEA reef_slope Major
493 DH0546_MMIR_SEA 86 SEA reef_slope Major
494 DH0547_MMIR_SEA 0 SEA reef_slope Major
495 DH0548_MMIR_SEA 127 SEA reef_slope Major
496 DH0549_MMIR_SEA 127 SEA reef_slope Major
497 DH0550_MMIR_SEA 130 SEA reef_slope Major
498 DH0551_MMIR_SEA 130 SEA reef_slope Major
499 DH0552_MMIR_SEA 198 SEA reef_slope Minor
500 DH0553_MMIR_SEA 198 SEA reef_slope Minor
501 DH0556_MMIR_SEA 198 SEA reef_slope Minor
502 DH0557_MMIR_SEA 0 SEA reef_slope Minor
503 DH0558_MMIR_SEA 0 SEA reef_slope Major
504 DH0559_MMIR_SEA 132 SEA reef_slope Major
505 DH0560_MMIR_SEA 132 SEA reef_slope Major
506 DH0561_MMIR_SEA 132 SEA reef_slope Major
507 DH0562_MMIR_SEA 132 SEA reef_slope Major
508 DH0563_MMIR_SEA 132 SEA reef_slope Major
509 DH0564_MMIR_SEA 132 SEA reef_slope Major
510 DH0565_MMIR_SEA 132 SEA reef_slope Major
511 DH0567_MMIR_SEA 133 SEA reef_slope Major
512 DH0570_MMIR_SEA 128 SEA reef_slope Major
513 DH0571_MMIR_SEA 201 SEA reef_slope Minor
514 DH0572_MMIR_SEA 132 SEA reef_slope Major
515 DH0573_MMIR_SEA 133 SEA reef_slope Major
516 DH0574_MMIR_SEA 133 SEA reef_slope Major
517 DH0575_MMIR_SEA 133 SEA reef_slope Major
518 DH0576_MMIR_SEA 201 SEA reef_slope Minor
519 DH0577_MMIR_SEA 134 SEA reef_slope Major
520 DH0578_MMIR_SEA 134 SEA reef_slope Major
521 DH0579_MMIR_SEA 134 SEA reef_slope Major
522 DH0580_MMIR_SEA 134 SEA reef_slope Major
523 DH0581_MMIR_SEA 201 SEA reef_slope Minor
524 DH0582_MMIR_SEA 128 SEA reef_slope Major
525 DH0583_MMIR_SEA 130 SEA reef_slope Major
526 DH0584_MMIR_SEA 128 SEA reef_slope Major
527 DH0585_MMIR_SEA 128 SEA reef_slope Major
528 DH0586_MMIR_SEA 128 SEA reef_slope Major
529 DH0587_MMIR_SEA 133 SEA reef_slope Major
530 DH0590_MMIR_SEA 128 SEA reef_slope Major
531 DH0591_MMIR_SEA 128 SEA reef_slope Major
532 DH0592_MMIR_SEA 130 SEA reef_slope Major
533 DH0593_MMIR_SEA 130 SEA reef_slope Major
534 DH0594_MMIR_SEA 130 SEA reef_slope Major
535 DH0595_MMIR_SEA 128 SEA reef_slope Major
536 DH0596_MMIR_KAL 135 KAL reef_slope Major
537 DH0597_MMIR_KAL 136 KAL reef_slope Major
538 DH0598_MMIR_KAL 136 KAL reef_slope Major
539 DH0599_MMIR_KAL 137 KAL reef_slope Major
540 DH0600_MMIR_KAL 137 KAL reef_slope Major
541 DH0601_MMIR_KAL 137 KAL reef_slope Major
542 DH0602_MMIR_KAL 138 KAL reef_slope Major
543 DH0603_MMIR_KAL 138 KAL reef_slope Major
544 DH0604_MMIR_KAL 0 KAL reef_slope Major
545 DH0605_MMIR_KAL 0 KAL reef_slope Major
546 DH0606_MMIR_KAL 141 KAL reef_slope Major
547 DH0607_MMIR_KAL 141 KAL reef_slope Major
548 DH0609_MMIR_KAL 0 KAL reef_slope Major
549 DH0610_MMIR_KAL 143 KAL reef_slope Major
550 DH0611_MMIR_KAL 144 KAL reef_slope Major
551 DH0614_MMIR_KAL 145 KAL reef_slope Major
552 DH0615_MMIR_KAL 146 KAL reef_slope Major
553 DH0616_MMIR_KAL 146 KAL reef_slope Major
554 DH0617_MMIR_KAL 145 KAL reef_slope Major
555 DH0618_MMIR_KAL 0 KAL reef_slope Major
556 DH0619_MMIR_KAL 145 KAL reef_slope Major
557 DH0620_MMIR_KAL 145 KAL reef_slope Major
558 DH0621_MMIR_KAL 145 KAL reef_slope Major
559 DH0622_MMIR_KAL 145 KAL reef_slope Major
560 DH0623_MMIR_KAL 0 KAL reef_slope Major
561 DH0624_MMIR_KAL 145 KAL reef_slope Major
562 DH0627_MMIR_KAL 36 KAL reef_slope Major
563 DH0628_MMIR_KAL 35 KAL reef_slope Major
564 DH0630_MMIR_KAL 35 KAL reef_slope Major
565 DH0631_MMIR_KAL 40 KAL reef_slope Major
566 DH0632_MMIR_KAL 40 KAL reef_slope Major
567 DH0633_MMIR_KAL 36 KAL reef_slope Major
568 DH0634_MMIR_KAL 36 KAL reef_slope Major
569 DH0635_MMIR_KAL 0 KAL reef_slope Major
570 DH0636_MMIR_KAL 33 KAL reef_slope Major
571 DH0637_MMIR_KAL 33 KAL reef_slope Major
572 DH0638_MMIR_KAL 23 KAL reef_slope Major
573 DH0639_MMIR_KAL 21 KAL reef_slope Major
574 DH0640_MMIR_KAL 0 KAL reef_slope Major
575 DH0641_MMIR_KAL 151 KAL reef_slope Major
576 DH0642_MMIR_KAL 151 KAL reef_slope Major
577 DH0643_MMIR_KAL 151 KAL reef_slope Major
578 DH0644_MMIR_KAL 151 KAL reef_slope Major
579 DH0645_MMIR_KAL 136 KAL reef_slope Major
580 DH0646_MMIR_KAL 136 KAL reef_slope Major
581 DH0647_MMIR_KAL 135 KAL reef_slope Major
582 DH0648_MMIR_KAL 152 KAL reef_slope Major
583 DH0649_MMIR_KAL 152 KAL reef_slope Major
584 DH0650_MMIR_KAL 152 KAL reef_slope Major
585 DH0651_MMIR_KAL 152 KAL reef_slope Major
586 DH0652_MMIR_KAL 152 KAL reef_slope Major
587 DH0653_MMIR_KAL 152 KAL reef_slope Major
588 DH0654_MMIR_KAL 152 KAL reef_slope Major
589 DH0655_MMIR_KAL 152 KAL reef_slope Major
590 DH0656_MMIR_KAL 152 KAL reef_slope Major
591 DH0657_MMIR_KAL 202 KAL reef_slope Minor
592 DH0658_MMIR_KAL 202 KAL reef_slope Minor
593 DH0659_MMIR_KAL 152 KAL reef_slope Major
594 DH0660_MMIR_KAL 152 KAL reef_slope Major
595 DH0661_MMIR_KAL 0 KAL reef_slope Minor
596 DH0662_MMIR_KAL 152 KAL reef_slope Major
597 DH0663_MMIR_KAL 0 KAL reef_slope Major
598 DH0664_MMIR_KAL 0 KAL reef_slope Major
599 DH0665_MMIR_KAL 0 KAL reef_slope Major
600 DH0666_MMIR_KAL 156 KAL reef_slope Major
601 DH0667_MMIR_KAL 143 KAL reef_slope Major
602 DH0668_MMIR_KAL 144 KAL reef_slope Major
603 DH0669_MMIR_KAL 144 KAL reef_slope Major
604 DH0670_MMIR_KAL 0 KAL reef_slope Major
605 DH0671_MMIR_KAL 156 KAL reef_slope Major
606 DH0672_MMIR_KAL 156 KAL reef_slope Major
607 DH0673_MMIR_KAL 156 KAL reef_slope Major
608 DH0674_MMIR_KAL 0 KAL reef_slope Major
609 DH0675_MMIR_KAL 0 KAL reef_slope Major
610 DH0679_MMIR_KAL 33 KAL reef_slope Major
611 DH0680_MMIR_KAL 29 KAL reef_slope Major
612 DH0681_MMIR_KAL 29 KAL reef_slope Major
613 DH0682_MMIR_KAL 160 KAL reef_slope Major
614 DH0683_MMIR_KAL 27 KAL reef_slope Major
615 DH0684_MMIR_KAL 0 KAL reef_slope Major
616 DH0685_MMIR_KAL 135 KAL reef_slope Major
617 DH0686_MMIR_KAL 152 KAL reef_slope Major
618 DH0687_MMIR_KAL 0 KAL reef_slope Major
619 DH0688_MMIR_KAL 163 KAL reef_slope Major
620 DH0689_MMIR_KAL 163 KAL reef_slope Major
621 DH0690_MMIR_KAL 156 KAL reef_slope Major
622 DH0691_MMIR_KAL 156 KAL reef_slope Major
623 DH0692_MMIR_KAL 156 KAL reef_slope Major
624 DH0693_MMIR_KAL 164 KAL reef_slope Major
625 DH0694_MMIR_KAL 164 KAL reef_slope Major
626 DH0695_MMIR_KAL 164 KAL reef_slope Major
627 DH0696_MMIR_KAL 165 KAL reef_slope Major
628 DH0697_MMIR_KAL 156 KAL reef_slope Major
629 DH0698_MMIR_KAL 156 KAL reef_slope Major
630 DH0699_MMIR_KAL 156 KAL reef_slope Major
631 DH0700_MMIR_KAL 156 KAL reef_slope Major
632 DH0701_MMIR_KAL 156 KAL reef_slope Major
633 DH0702_MMIR_KAL 165 KAL reef_slope Major
634 DH0703_MMIR_KAL 165 KAL reef_slope Major
635 DH0707_MMIR_KAL 166 KAL reef_slope Major
636 DH0709_MMIR_KAL 166 KAL reef_slope Major
637 DH0710_MMIR_KAL 166 KAL reef_slope Major
638 DH0711_MMIR_KAL 166 KAL reef_slope Major
639 DH0712_MMIR_KAL 167 KAL reef_slope Major
640 DH0713_MMIR_KAL 0 KAL reef_slope Major
641 DH0714_MMIR_KAL 0 KAL reef_slope Minor
642 DH0715_MMIR_KAL 167 KAL reef_slope Major
643 DH0716_MMIR_KAL 167 KAL reef_slope Major
644 DH0717_MMIR_KAL 23 KAL reef_slope Major
645 DH0718_MMIR_KAL 167 KAL reef_slope Major
646 DH0719_MMIR_KAL 167 KAL reef_slope Major
647 DH0720_MMIR_KAL 160 KAL reef_slope Major
648 DH0722_MMIR_KAL 167 KAL reef_slope Major
649 DH0723_MMIR_KAL 22 KAL reef_slope Major
650 DH0724_MMIR_KAL 167 KAL reef_slope Major
651 DH0725_MMIR_KAL 22 KAL reef_slope Major
652 DH0728_MMIR_KAL 25 KAL reef_slope Major
653 DH0729_MMIR_KAL 167 KAL reef_slope Major
654 DH0730_MMIR_KAL 0 KAL reef_slope Major
655 DH0731_MMIR_KAL 0 KAL reef_slope Major
656 DH0732_MMIR_KAL 0 KAL reef_slope Major
657 DH0733_MMIR_KAL 172 KAL reef_slope Major
658 DH0734_MMIR_KAL 172 KAL reef_slope Major
659 DH0735_MMIR_KAL 172 KAL reef_slope Major
660 DH0736_MMIR_KAL 172 KAL reef_slope Major
661 DH0737_MMIR_KAL 172 KAL reef_slope Major
662 DH0739_MMIR_KAL 173 KAL reef_slope Major
663 DH0740_MMIR_KAL 173 KAL reef_slope Major
664 DH0741_MMIR_KAL 173 KAL reef_slope Major
665 DH0742_MMIR_KAL 173 KAL reef_slope Major
666 DH0743_MMIR_KAL 173 KAL reef_slope Major
667 DH0744_MMIR_KAL 173 KAL reef_slope Major
668 DH0745_MMIR_KAL 0 KAL reef_slope Major
669 DH0746_MMIR_KAL 0 KAL reef_slope Major
670 DH0747_MMIR_KAL 176 KAL reef_slope Major
671 DH0748_MMIR_KAL 0 KAL reef_slope Major
672 DH0749_MMIR_KAL 176 KAL reef_slope Major
673 DH0750_MMIR_KAL 176 KAL reef_slope Major
674 DH0751_MMIR_KAL 22 KAL reef_slope Major
675 DH0752_MMIR_KAL 21 KAL reef_slope Major
676 DH0753_MMIR_KAL 2 KAL reef_slope Major
677 DX0054_MMIR_SNA_SHA 13 SNA reef_flat Major
678 DX0114_MMIR_KAL_SHA 36 KAL reef_flat Major
679 DX0452_MMIR_SNA 9 SNA reef_slope Major
680 DX0453_MMIR_SNA 109 SNA reef_slope Major
681 DX0454_MMIR_SNA 18 SNA reef_slope Major
