shape_id	n_points	z_min	z_max	z_range	area_2d	perimeter	Environment	Site
1_kal	40062	-14.95340551840317	-12.165240501475367	2.7881650169278025	2.722893678490326	7.471222651908501	Slope	Playa Kalki
1_kal	40062	-14.95340551840317	-12.165240501475367	2.7881650169278025	2.722893678490326	7.471222651908501	Crest	Playa Kalki
100_kal	12	-9.03848079780499	-9.022925776518813	0.01555502128617725	0.0019008432093159985	0.1800674970860928	Crest	Playa Kalki
101_kal	129	-9.794912271225504	-9.575956840423425	0.21895543080207958	0.012574788920134906	0.4430371977678243	Crest	Playa Kalki
102_kal	17	-9.966494903364199	-9.906234689099975	0.06026021426422368	0.0012738545003508825	0.1424401594678761	Crest	Playa Kalki
103_kal	2351	-10.475869021231	-9.084944803038319	1.3909242181926817	0.20338352160372244	2.070852686621258	Crest	Playa Kalki
104_kal	3510	-11.299466725286539	-9.765937066453308	1.5335296588332312	0.23347153058899567	3.3447504128641734	Crest	Playa Kalki
105_kal	122	-8.21445721639696	-7.980408044990916	0.23404917140604464	0.01513021082704987	0.6561079197020793	Crest	Playa Kalki
106_kal	765	-8.980110440518006	-7.95507982748722	1.0250306130307862	0.029492191772478013	0.7931759313456773	Crest	Playa Kalki
107_kal	23502	-9.887227109998014	-7.789269743452866	2.097957366545147	2.1452434369894675	8.649915443498681	Crest	Playa Kalki
108_kal	2260	-11.064592313258451	-10.626760052394275	0.4378322608641767	0.23385761478850606	2.197867490474369	Crest	Playa Kalki
109_kal	14124	-11.5126832141141	-9.697981227281556	1.814701986832544	1.3289086048481764	5.811056377080982	Crest	Playa Kalki
110_kal	2128	-12.466658578466728	-10.80741536408307	1.6592432143836575	0.17278033259836661	2.0122967979719038	Crest	Playa Kalki
111_kal	1312	-13.216571771665503	-12.108683375593175	1.1078883960723278	0.05037546684358845	1.0011330447615452	Slope	Playa Kalki
111_kal	1312	-13.216571771665503	-12.108683375593175	1.1078883960723278	0.05037546684358845	1.0011330447615452	Crest	Playa Kalki
112_kal	6286	-10.011102159493259	-7.3946091591978655	2.6164930002953932	0.4854542858770853	2.7483564222183143	Crest	Playa Kalki
2_kal	162	-14.297684645205615	-13.443223981072752	0.8544606641328638	0.004348415360127999	0.29090026305777117	Slope	Playa Kalki
21_kal	630	-9.304554141504777	-8.36633146499066	0.9382226765141173	0.05842688048100121	0.9434541496310314	Crest	Playa Kalki
22_kal	3702	-10.432621775636132	-8.534970470500637	1.8976513051354953	0.2881114301936817	2.438670316913803	Crest	Playa Kalki
23_kal	186	-9.594824841161534	-9.26384792082898	0.33097692033255477	0.011331765847320615	0.43023914761398596	Crest	Playa Kalki
24_kal	33	-10.583632840519424	-10.43955820455085	0.14407463596857362	0.0019658223348260335	0.1766219024568168	Crest	Playa Kalki
3_kal	338	-13.21522273774471	-12.840184634423156	0.37503810332155396	0.026647980365988148	0.6387992045163772	Slope	Playa Kalki
4_kal	18	-9.03231077310777	-8.617894081171286	0.4144166919364842	0.0015298166740048149	0.29739915471421885	Crest	Playa Kalki
40_kal	3118	-9.155413985637232	-8.314874314430208	0.8405396712070239	0.28815904548627824	2.821554203717105	Crest	Playa Kalki
41_kal	5185	-9.842862215785756	-8.810681927575622	1.0321802882101334	0.39294942744428524	3.374783756489216	Crest	Playa Kalki
42_kal	3988	-11.533992256998479	-9.73246522128781	1.8015270357106683	0.3886126090656303	3.059384561606217	Crest	Playa Kalki
43_kal	51	-13.108755508926443	-12.537330982221668	0.5714245267047744	0.0054165613449564335	0.3148699850510327	Slope	Playa Kalki
44_kal	6632	-14.70604032475149	-12.632054163307652	2.0739861614438375	0.6042107061642571	4.064162947040241	Slope	Playa Kalki
45_kal	6923	-16.224851721981278	-14.42213344068154	1.8027182812997378	0.5506745115949471	3.1529536549828765	Slope	Playa Kalki
46_kal	909	-15.70377605905565	-15.245538991037556	0.4582370680180947	0.09241541070766135	1.3021021584820176	Slope	Playa Kalki
5_kal	893	-9.498395318636518	-8.354006599542299	1.14438871909422	0.04080077517597438	1.047083851678802	Crest	Playa Kalki
53_kal	16365	-16.822807629661014	-12.968239923522658	3.854567706138356	2.1039786849232565	7.939300299343636	Slope	Playa Kalki
55_kal	152	-15.732833979074487	-14.313086076205721	1.4197479028687656	0.01485544942133941	0.4961307067461579	Slope	Playa Kalki
56_kal	2307	-14.550797019956455	-13.105497609293632	1.4452994106628232	0.20167940215016922	2.4790975780289375	Slope	Playa Kalki
57_kal	1136	-14.427897173326803	-13.085006326791103	1.3428908465357008	0.08268610311214232	1.1922106261443188	Slope	Playa Kalki
58_kal	21321	-14.541987229758357	-12.622665848611653	1.9193213811467036	1.53143039133076	9.209752158258487	Slope	Playa Kalki
59_kal	783	-14.2173634804873	-13.65689557700768	0.5604679034796209	0.08990036684331867	1.539019996145034	Slope	Playa Kalki
6_kal	2436	-9.370741965688401	-8.634923356302707	0.735818609385694	0.20630458502801158	3.2187946465668906	Crest	Playa Kalki
60_kal	2700	-15.154871566044797	-12.586337188432303	2.568534377612494	0.20457752387936412	2.27535973370131	Slope	Playa Kalki
61_kal	1296	-12.620268340565922	-10.997757789147602	1.6225105514183191	0.077799208300965	1.213518172786974	Slope	Playa Kalki
61_kal	1296	-12.620268340565922	-10.997757789147602	1.6225105514183191	0.077799208300965	1.213518172786974	Crest	Playa Kalki
62_kal	11768	-15.356552158751583	-12.40275445885967	2.953797699891913	0.9300896782928258	5.607772731650517	Slope	Playa Kalki
62_kal	11768	-15.356552158751583	-12.40275445885967	2.953797699891913	0.9300896782928258	5.607772731650517	Crest	Playa Kalki
63_kal	54	-14.743865905755086	-14.64075755742672	0.1031083483283659	0.0033483922040399277	0.2502603772393374	Slope	Playa Kalki
64_kal	2725	-14.540141669646511	-13.235467309444129	1.304674360202382	0.20789504980547535	2.0552053090806743	Slope	Playa Kalki
65_kal	6097	-11.6893272072188	-10.080422954858282	1.608904252360519	0.5455142464161709	3.6528081313604224	Crest	Playa Kalki
66_kal	45	-10.19475274418519	-9.244641762221214	0.9501109819639755	0.00201671455686105	0.18255348036686775	Crest	Playa Kalki
67_kal	618	-11.243076446251415	-10.624322326444378	0.6187541198070363	0.01900308485798252	0.633642182134295	Crest	Playa Kalki
68_kal	1188	-10.925376892019662	-10.599577752056875	0.3257991399627862	0.12588378423519347	1.5242298482567904	Crest	Playa Kalki
69_kal	196	-10.793709729541744	-10.13490502085002	0.6588047086917239	0.014912868981189473	0.5138564026056214	Crest	Playa Kalki
70_kal	94	-9.71182096047008	-9.615184956698776	0.09663600377130344	0.006848213042988777	0.3222652230024793	Crest	Playa Kalki
71_kal	21226	-10.18544579826203	-7.758752250397978	2.426693547864052	1.1101575270693531	9.902544431775143	Crest	Playa Kalki
72_kal	856	-8.650726092061587	-8.2579897289747	0.39273636308688786	0.06575764415215674	0.9910494807107388	Crest	Playa Kalki
73_kal	1198	-11.032993446511945	-7.5941757494841555	3.4388176970277895	0.10610576007024641	1.5717305810237128	Crest	Playa Kalki
74_kal	1112	-10.227969959700637	-7.442999844109568	2.7849701155910687	0.045887043733303115	1.3919782047540399	Crest	Playa Kalki
75_kal	3209	-9.422350392810653	-8.16998744805382	1.2523629447568325	0.2302749861397676	2.6526389808846607	Crest	Playa Kalki
76_kal	15	-9.57783416286281	-8.658899114322216	0.9189350485405949	0.0014338478699992517	0.16038358336923692	Crest	Playa Kalki
78_kal	1393	-9.244683648343065	-8.752846846097778	0.49183680224528636	0.11375405239379689	1.5062935568382771	Crest	Playa Kalki
99_kal	103	-8.960365879140813	-8.58705858160318	0.37330729753763237	0.010003831307305918	0.4042381197343289	Crest	Playa Kalki
51_sna	51	-9.891710744872691	-9.517339288342425	0.37437145653026604	0.0025479930673492648	0.39886263186797705	Crest	Snakebay
52_sna	164708	-12.923439303909102	-9.347325335185038	3.576113968724064	9.693027886780904	22.10729429385359	Slope	Snakebay
52_sna	164708	-12.923439303909102	-9.347325335185038	3.576113968724064	9.693027886780904	22.10729429385359	Crest	Snakebay
53_sna	23998	-10.956618310933987	-9.637424577190846	1.3191937337431412	2.0235228120115503	9.280576839782421	Crest	Snakebay
54_sna	20468	-11.544992125538402	-10.017396695186761	1.5275954303516404	1.5737662576863076	7.8387736294321755	Crest	Snakebay
55_sna	26632	-11.437156074592165	-9.230252109235469	2.2069039653566964	2.2355063192257996	7.042533894680933	Crest	Snakebay
56_sna	822595	-15.690009045257847	-9.243133931468533	6.446875113789314	25.26221558396391	56.98419433377073	Slope	Snakebay
56_sna	822595	-15.690009045257847	-9.243133931468533	6.446875113789314	25.26221558396391	56.98419433377073	Crest	Snakebay
57_sna	8842	-10.421720932888602	-9.459047985919238	0.9626729469693647	0.7378151212195668	4.290989130361368	Crest	Snakebay
58_sna	215	-9.762681093946608	-9.63411734247387	0.12856375147273802	0.03402732505927453	0.8157755367673222	Crest	Snakebay
59_sna	52	-9.532536607595016	-9.491685786538737	0.040850821056279685	0.007805502727936422	0.3631446312993428	Crest	Snakebay
60_sna	53489	-10.979909629205654	-9.064800429814305	1.915109199391349	3.8342169808046127	11.32463926600014	Crest	Snakebay
61_sna	80	-10.812789378986787	-10.3598961000465	0.4528932789402873	0.008771087957682944	0.3911740757570866	Crest	Snakebay
62_sna	86	-11.090356323448455	-10.949003995587466	0.1413523278609894	0.006313344061662758	0.32769186575722314	Crest	Snakebay
63_sna	67	-11.530111877649443	-9.798835126858798	1.731276750790645	0.004458486656258605	0.5190376474187032	Crest	Snakebay
64_sna	225	-12.05374687604614	-11.357855169032609	0.6958917070135318	0.009039349310719196	0.39057444191800195	Crest	Snakebay
65_sna	246	-11.972470714080263	-9.843116536666404	2.129354177413859	0.006222800911183352	0.3175759949980623	Crest	Snakebay
66_sna	67	-12.617429323271306	-11.134964931766334	1.4824643915049727	0.0019062243212316012	0.35845261556265384	Slope	Snakebay
66_sna	67	-12.617429323271306	-11.134964931766334	1.4824643915049727	0.0019062243212316012	0.35845261556265384	Crest	Snakebay
67_sna	242	-14.255943292455996	-12.107939431006912	2.1480038614490837	0.007983037306460704	0.3600827858180702	Slope	Snakebay
67_sna	242	-14.255943292455996	-12.107939431006912	2.1480038614490837	0.007983037306460704	0.3600827858180702	Crest	Snakebay
68_sna	976	-17.143438277963583	-15.09172387970153	2.051714398262053	0.008817199839925013	0.38814258493192394	Slope	Snakebay
69_sna	6452	-15.296787616018538	-14.041815785854961	1.2549718301635764	0.20279921927303213	1.8021123311844223	Slope	Snakebay
70_sna	422	-16.03874333132267	-14.706730859982322	1.3320124713403487	0.009631203303821554	0.3940139370435025	Slope	Snakebay
71_sna	303	-15.468563200793866	-14.790616233790402	0.6779469670034644	0.011671572104503068	0.4398067316263646	Slope	Snakebay
72_sna	73471	-21.283172316760794	-15.352945311841045	5.9302270049197485	3.5888915499735425	13.694653719785768	Slope	Snakebay
73_sna	349392	-17.60199821454032	-11.587244381872425	6.014753832667894	7.962045568528382	24.129337690377053	Slope	Snakebay
73_sna	349392	-17.60199821454032	-11.587244381872425	6.014753832667894	7.962045568528382	24.129337690377053	Crest	Snakebay
74_sna	1077797	-19.960031159692615	-9.576965374851484	10.383065784841131	39.97892794105755	53.12792189840832	Slope	Snakebay
74_sna	1077797	-19.960031159692615	-9.576965374851484	10.383065784841131	39.97892794105755	53.12792189840832	Crest	Snakebay
75_sna	8856	-10.34510408164334	-9.082653504213935	1.262450577429405	0.6025017800412936	5.191949106981843	Crest	Snakebay
76_sna	57	-10.531650316682624	-10.467882863151857	0.06376745353076707	0.005382312464802352	0.30522637343386105	Crest	Snakebay
77_sna	439512	-19.192896695957124	-12.417201960473118	6.775694735484006	10.799850191988222	23.412643949793726	Slope	Snakebay
77_sna	439512	-19.192896695957124	-12.417201960473118	6.775694735484006	10.799850191988222	23.412643949793726	Crest	Snakebay
78_sna	104456	-19.997512989678015	-13.856685530150424	6.140827459527591	1.750813878971221	9.114183711276436	Slope	Snakebay
79_sna	923	-17.58584446664574	-15.612549025799954	1.973295440845785	0.029493882600814616	0.6897220032026214	Slope	Snakebay
81_sna	137528	-15.600787226605693	-10.800111629975476	4.800675596630217	3.8037792860303012	8.947212530378348	Slope	Snakebay
81_sna	137528	-15.600787226605693	-10.800111629975476	4.800675596630217	3.8037792860303012	8.947212530378348	Crest	Snakebay
82_sna	46300	-19.603555416936686	-15.326584364666655	4.2769710522700315	0.879592888908395	4.366621582701704	Slope	Snakebay
83_sna	2216	-19.981717783894	-16.876818609052588	3.1048991748414103	0.047729795768917484	0.9291538418022092	Slope	Snakebay
84_sna	40658	-21.276047872889038	-16.598790742835902	4.677257130053135	2.9890624355171207	9.084026836694978	Slope	Snakebay
85_sna	13671	-21.007689986373833	-18.163386140373657	2.8443038460001766	0.6529373222463032	5.8135049066044715	Slope	Snakebay
86_sna	159	-10.585543552589003	-10.476056064578138	0.10948748801086516	0.014550601004786865	0.4652563671179672	Crest	Snakebay
87_sna	43	-10.695698334002635	-10.664593128607585	0.03110520539505046	0.0044036517759590225	0.2591364503673032	Crest	Snakebay
88_sna	71	-11.408804109772436	-11.214174068982944	0.19463004078949275	0.0038853741699949283	0.24710865903445217	Crest	Snakebay
89_sna	206	-11.594043128059962	-11.503135601639967	0.09090752641999522	0.022639917654508672	0.6305677089942179	Crest	Snakebay
1_sea	6267	-12.002719676386159	-11.657234303969554	0.34548537241660426	0.09599409948045355	1.2632963630135075	Crest	Sea Aquarium
10_sea	577	-13.898745034283301	-13.258791907628256	0.6399531266550458	0.007860620788448057	0.34440050736557454	Slope	Sea Aquarium
11_sea	994	-14.316632765105604	-13.740199595210969	0.576433169894635	0.014302496637362806	0.6383142184385551	Slope	Sea Aquarium
12_sea	24690	-14.546780438930348	-13.862994803393992	0.6837856355363563	0.21861005154310906	1.9678475640926048	Slope	Sea Aquarium
13_sea	30953	-13.138494361397727	-12.461818623681317	0.6766757377164101	0.3426800857827319	3.5833227610258724	Slope	Sea Aquarium
13_sea	30953	-13.138494361397727	-12.461818623681317	0.6766757377164101	0.3426800857827319	3.5833227610258724	Crest	Sea Aquarium
14_sea	438754	-13.00781314989678	-10.150664439702595	2.857148710194185	4.11655306836499	13.259250451728999	Slope	Sea Aquarium
14_sea	438754	-13.00781314989678	-10.150664439702595	2.857148710194185	4.11655306836499	13.259250451728999	Crest	Sea Aquarium
15_sea	13130	-14.823164548342303	-14.387681080311896	0.43548346803040694	0.1602936488264495	1.7317628751134018	Slope	Sea Aquarium
16_sea	2046364	-18.8275897220507	-12.217176037809626	6.610413684241074	17.508068193739927	54.04652481994769	Slope	Sea Aquarium
16_sea	2046364	-18.8275897220507	-12.217176037809626	6.610413684241074	17.508068193739927	54.04652481994769	Crest	Sea Aquarium
17_sea	50098	-18.685660289660195	-17.039688836308905	1.6459714533512901	0.4591445433270388	5.937022060889917	Slope	Sea Aquarium
18_sea	1102	-19.18936443650668	-18.946309064650226	0.2430553718564532	0.011494118627846269	0.537622114193654	Slope	Sea Aquarium
19_sea	522	-18.95825022128739	-18.79661079388073	0.1616394274066586	0.004803769499729819	0.30594332269984925	Slope	Sea Aquarium
2_sea	1883	-11.953274701969862	-11.787836801850657	0.16543790011920478	0.03305764413483637	0.7255425205441237	Crest	Sea Aquarium
21_sea	101	-13.00052159538128	-12.951607129054825	0.048914466326454686	0.0014577873354007888	0.15404781763681083	Slope	Sea Aquarium
22_sea	671	-13.125996151664596	-12.354444982257409	0.7715511694071875	0.002894294339747007	0.21786271823232115	Slope	Sea Aquarium
22_sea	671	-13.125996151664596	-12.354444982257409	0.7715511694071875	0.002894294339747007	0.21786271823232115	Crest	Sea Aquarium
23_sea	415	-11.55124008755111	-11.461044379483043	0.09019570806806598	0.0064560507902454165	0.3286343264790368	Crest	Sea Aquarium
24_sea	1617	-9.476345447547246	-9.125807733878553	0.35053771366869313	0.00994197604837549	0.37631139124964824	Crest	Sea Aquarium
25_sea	937	-13.737432523260368	-13.665135353122436	0.07229717013793291	0.01321459804352577	0.43170734091298213	Slope	Sea Aquarium
26_sea	128	-13.880311803307462	-13.845450144722234	0.03486165858522838	0.0018225866080911828	0.17142608581335428	Slope	Sea Aquarium
27_sea	4898	-14.629138453930514	-13.977926318339813	0.6512121355907006	0.05496707910110031	1.535000973293933	Slope	Sea Aquarium
28_sea	15411	-15.595159836858672	-14.714132801272097	0.881027035586575	0.18608814868232418	1.7739645261820753	Slope	Sea Aquarium
29_sea	1186	-15.611227546139522	-15.417278203588706	0.19394934255081608	0.011151687748887041	0.4812940425483919	Slope	Sea Aquarium
3_sea	1867	-14.458908174645293	-14.224620658227005	0.23428751641828782	0.02784816348192081	0.8012560763257426	Slope	Sea Aquarium
30_sea	994	-18.024789831146627	-17.817916894284938	0.20687293686168928	0.007838635963162631	0.3862269917222105	Slope	Sea Aquarium
31_sea	632	-18.54013170316637	-18.30354413012096	0.23658757304540856	0.008724247392446271	0.4453281443676391	Slope	Sea Aquarium
32_sea	52729	-20.397051592741217	-18.940213529557	1.4568380631842182	0.47875988885304127	5.2641985388849895	Slope	Sea Aquarium
34_sea	10535	-16.474515090845372	-15.885218231859794	0.5892968589855787	0.08030391487397362	1.1234043360558448	Slope	Sea Aquarium
35_sea	1966	-19.10866697777192	-17.362501173395415	1.7461658043765063	0.010508257895563346	0.4033660864995797	Slope	Sea Aquarium
36_sea	1860	-19.72173551488532	-19.36318789116096	0.35854762372436255	0.023406175117970617	0.6059883767739126	Slope	Sea Aquarium
37_sea	2780	-15.94607573804787	-15.442136223427303	0.5039395146205674	0.009552874098692632	0.5284541155177004	Slope	Sea Aquarium
38_sea	5167	-16.428262970684408	-16.292218814140206	0.13604415654420166	0.06087199071977216	0.99454232016738	Slope	Sea Aquarium
39_sea	12847	-17.975965076625084	-16.653856688978586	1.322108387646498	0.07163337326608882	1.2841273973608152	Slope	Sea Aquarium
4_sea	220230	-17.664643216034634	-14.427993392439268	3.236649823595366	3.131767125014377	10.490919350267719	Slope	Sea Aquarium
40_sea	7583	-19.06449735815674	-18.327089894640483	0.7374074635162557	0.07517991301399654	1.0911056032915432	Slope	Sea Aquarium
41_sea	13194	-19.62124370126953	-18.39494162505097	1.2263020762185626	0.0692857229815939	0.9973059803803129	Slope	Sea Aquarium
42_sea	4141	-18.40912035666773	-17.64342655635912	0.7656938003086111	0.022252803552587123	0.7180568347160057	Slope	Sea Aquarium
43_sea	337630	-16.072036760001144	-11.501758435098914	4.57027832490223	2.8750526459314556	16.277581800234973	Slope	Sea Aquarium
43_sea	337630	-16.072036760001144	-11.501758435098914	4.57027832490223	2.8750526459314556	16.277581800234973	Crest	Sea Aquarium
44_sea	247270	-17.874172915581852	-15.05613753560298	2.8180353799788715	1.8770787430180802	7.770668261394274	Slope	Sea Aquarium
45_sea	6051	-16.602513442341305	-15.783947282140284	0.818566160201021	0.02425702442452534	0.7035861872284123	Slope	Sea Aquarium
46_sea	2596	-16.189355345357825	-15.875814974626023	0.3135403707318023	0.018928209133505833	0.5891968955310434	Slope	Sea Aquarium
47_sea	713	-17.228250201832182	-16.84017996749122	0.38807023434096166	0.007455100376465968	0.35746270088098847	Slope	Sea Aquarium
49_sea	270321	-24.05084161156257	-16.681047160633934	7.369794450928637	2.52706277086944	11.732672034529488	Slope	Sea Aquarium
5_sea	798	-17.51598604094215	-17.429030220550306	0.08695582039184302	0.011751348724885723	0.40309798076507963	Slope	Sea Aquarium
50_sea	7063	-19.464373808455747	-19.041795028629497	0.4225787798262495	0.06354870268875809	1.0456453757756867	Slope	Sea Aquarium
51_sea	8405	-20.653077887573403	-19.7984026951882	0.8546751923852014	0.0909175938254455	1.3081013549776412	Slope	Sea Aquarium
52_sea	2317	-20.123171703049643	-19.923934292925118	0.19923741012452467	0.024947166758106078	0.6340065907260224	Slope	Sea Aquarium
53_sea	792	-20.221858170242722	-20.115934588180647	0.10592358206207564	0.010899516397656229	0.4247233093717496	Slope	Sea Aquarium
54_sea	1383	-22.26490806044112	-21.790635864778768	0.47427219566235124	0.015511732892322678	0.5422914220394793	Slope	Sea Aquarium
55_sea	1797	-18.0486018169057	-17.860418620703904	0.1881831962017948	0.014780749587059716	0.5001670469125977	Slope	Sea Aquarium
56_sea	38773	-18.965811980863894	-18.23435075208839	0.7314612287755047	0.3943163146267954	3.8305901285040593	Slope	Sea Aquarium
57_sea	879	-14.761456838569304	-14.638052268313661	0.12340457025564255	0.00796934782849462	0.3576408137398028	Slope	Sea Aquarium
58_sea	801	-15.918979628294766	-15.738016727050889	0.18096290124387693	0.006598188238024061	0.3842314600117444	Slope	Sea Aquarium
59_sea	557	-14.131793615690666	-14.003877416890614	0.12791619880005278	0.0045833668188113895	0.27557814727265995	Slope	Sea Aquarium
6_sea	1717	-14.958975858822583	-14.502541322179807	0.4564345366427762	0.010195720928252869	0.4665070710446162	Slope	Sea Aquarium
